id,title,year,genre,rating,description
724,The Grand Budapest Hotel,2024,Horror,7.3,A suspenseful ride packed with unexpected twists.
725,Parasite,1961,Romance,7.3,A gripping story filled with emotion and depth.
726,The Truman Show,1977,Horror,8.4,An emotional story that leaves a lasting impact.
727,The Terminator,2005,Romance,8.4,A suspenseful ride packed with unexpected twists.
728,Back to the Future,2003,Horror,9.4,A thrilling adventure that keeps you on the edge.
729,The Lion King,2005,Thriller,7.3,A warm and inspiring tale of hope and resilience.
730,Forrest Gump,1961,Adventure,9.1,A powerful drama exploring human relationships.
731,The Social Network,1962,Drama,8.6,A powerful drama exploring human relationships.
732,The Godfather,2000,Comedy,9.8,A thrilling adventure that keeps you on the edge.
733,Inception,2021,Action,7.8,A gripping story filled with emotion and depth.
734,The Matrix,1952,Thriller,8.8,A powerful drama exploring human relationships.
735,Saving Private Ryan,1986,Thriller,9.5,A powerful drama exploring human relationships.
736,Moonlight,1975,Romance,7.0,A thrilling adventure that keeps you on the edge.
737,The Pianist,1967,Drama,9.2,An unforgettable journey of courage and discovery.
738,Avatar,1979,Drama,9.2,A suspenseful ride packed with unexpected twists.
739,A Beautiful Mind,1980,Drama,9.5,A suspenseful ride packed with unexpected twists.
740,The Lion King,1952,Crime,9.0,A suspenseful ride packed with unexpected twists.
741,Toy Story,1961,Drama,7.6,A gripping story filled with emotion and depth.
742,Mad Max: Fury Road,1956,Romance,9.2,A warm and inspiring tale of hope and resilience.
743,The Pianist,1995,Sci-Fi,6.7,A fast-paced story with intense action sequences.
744,The Pianist,1991,Romance,9.6,A thrilling adventure that keeps you on the edge.
745,Saving Private Ryan,1963,Thriller,7.9,A suspenseful ride packed with unexpected twists.
746,Gladiator,1991,Thriller,8.5,An unforgettable journey of courage and discovery.
747,Harry Potter and the Sorcerer's Stone,1956,Crime,7.2,A powerful drama exploring human relationships.
748,The Pianist,1984,Comedy,8.2,A suspenseful ride packed with unexpected twists.
749,Avatar,2007,Sci-Fi,8.1,A powerful drama exploring human relationships.
750,Iron Man,2008,Comedy,7.6,A thrilling adventure that keeps you on the edge.
751,Interstellar,2019,Adventure,8.3,A beautifully crafted film with memorable characters.
752,Harry Potter and the Sorcerer's Stone,2009,Comedy,8.1,A powerful drama exploring human relationships.
753,Good Will Hunting,1977,Adventure,7.3,An unforgettable journey of courage and discovery.
754,The Wolf of Wall Street,1992,Animation,9.4,A thrilling adventure that keeps you on the edge.
755,Interstellar,2004,Adventure,7.9,A fast-paced story with intense action sequences.
756,Se7en,1967,Romance,8.6,A fast-paced story with intense action sequences.
757,The Dark Knight,2003,Adventure,9.6,A powerful drama exploring human relationships.
758,La La Land,1989,Drama,9.5,A warm and inspiring tale of hope and resilience.
759,Black Panther,2019,Animation,9.4,A warm and inspiring tale of hope and resilience.
760,The Wolf of Wall Street,2000,Drama,7.6,An unforgettable journey of courage and discovery.
761,Joker,1987,Animation,8.7,A warm and inspiring tale of hope and resilience.
762,Harry Potter and the Sorcerer's Stone,1957,Animation,8.8,An unforgettable journey of courage and discovery.
763,Good Will Hunting,1973,Horror,7.4,An emotional story that leaves a lasting impact.
764,Harry Potter and the Sorcerer's Stone,1951,Crime,7.8,A fast-paced story with intense action sequences.
765,The Godfather,1963,Drama,8.1,A visually stunning film with a heartfelt narrative.
766,Se7en,2023,Drama,7.8,A suspenseful ride packed with unexpected twists.
767,Spirited Away,1978,Action,8.8,A powerful drama exploring human relationships.
768,Black Panther,1999,Crime,9.7,A beautifully crafted film with memorable characters.
769,Spirited Away,1981,Thriller,9.3,A warm and inspiring tale of hope and resilience.
770,La La Land,1992,Action,6.6,A thrilling adventure that keeps you on the edge.
771,The Dark Knight,1982,Crime,9.6,An unforgettable journey of courage and discovery.
772,Whiplash,1956,Crime,8.8,A gripping story filled with emotion and depth.
773,The Batman,2009,Sci-Fi,7.4,A fast-paced story with intense action sequences.
774,Back to the Future,1996,Action,8.5,A thrilling adventure that keeps you on the edge.
775,The Truman Show,1974,Thriller,8.7,A powerful drama exploring human relationships.
776,La La Land,1995,Drama,9.6,An unforgettable journey of courage and discovery.
777,Titanic,1955,Sci-Fi,6.8,A visually stunning film with a heartfelt narrative.
778,Fight Club,1970,Comedy,7.5,A gripping story filled with emotion and depth.
779,The Lord of the Rings,1992,Crime,6.6,A suspenseful ride packed with unexpected twists.
780,Casablanca,2001,Animation,9.0,An emotional story that leaves a lasting impact.
781,Toy Story,1992,Action,7.7,A warm and inspiring tale of hope and resilience.
782,Se7en,1964,Crime,9.1,A gripping story filled with emotion and depth.
783,The Dark Knight,2013,Animation,9.3,A suspenseful ride packed with unexpected twists.
784,The Silence of the Lambs,1989,Adventure,6.7,An unforgettable journey of courage and discovery.
785,The Prestige,2005,Romance,9.7,An unforgettable journey of courage and discovery.
786,2001: A Space Odyssey,1958,Thriller,7.9,A fast-paced story with intense action sequences.
787,Forrest Gump,1985,Crime,9.3,A suspenseful ride packed with unexpected twists.
788,La La Land,1981,Adventure,8.4,An emotional story that leaves a lasting impact.
789,La La Land,1962,Thriller,6.9,An unforgettable journey of courage and discovery.
790,The Shawshank Redemption,2001,Thriller,8.0,A warm and inspiring tale of hope and resilience.
791,Spirited Away,1963,Horror,8.5,A warm and inspiring tale of hope and resilience.
792,Interstellar,2015,Adventure,6.9,An emotional story that leaves a lasting impact.
793,The Truman Show,2005,Horror,8.3,A warm and inspiring tale of hope and resilience.
794,Indiana Jones and the Last Crusade,1955,Action,7.8,A warm and inspiring tale of hope and resilience.
795,The Prestige,1951,Comedy,9.0,A visually stunning film with a heartfelt narrative.
796,The Lion King,1993,Drama,8.5,An emotional story that leaves a lasting impact.
797,The Prestige,2012,Comedy,8.3,A thrilling adventure that keeps you on the edge.
798,The Lion King,1997,Adventure,6.9,A fast-paced story with intense action sequences.
799,Joker,1971,Animation,6.7,A suspenseful ride packed with unexpected twists.
800,Gladiator,1973,Romance,6.6,A thrilling adventure that keeps you on the edge.
801,Slumdog Millionaire,1998,Romance,9.5,A fast-paced story with intense action sequences.
802,The Green Mile,2012,Crime,8.8,A gripping story filled with emotion and depth.
803,Good Will Hunting,1987,Horror,7.0,A suspenseful ride packed with unexpected twists.
804,The Social Network,2020,Adventure,9.2,A powerful drama exploring human relationships.
805,The Dark Knight,1959,Horror,7.5,An unforgettable journey of courage and discovery.
806,Back to the Future,1989,Thriller,8.7,A suspenseful ride packed with unexpected twists.
807,The Big Lebowski,1953,Crime,9.7,A suspenseful ride packed with unexpected twists.
808,The Dark Knight,2000,Crime,8.4,A thrilling adventure that keeps you on the edge.
809,Rocky,1982,Romance,9.6,A gripping story filled with emotion and depth.
810,Jurassic Park,1966,Crime,8.1,A warm and inspiring tale of hope and resilience.
811,Forrest Gump,2001,Adventure,9.0,A visually stunning film with a heartfelt narrative.
812,The Avengers,1995,Animation,7.5,An emotional story that leaves a lasting impact.
813,Avatar,1974,Adventure,8.8,A warm and inspiring tale of hope and resilience.
814,Indiana Jones and the Last Crusade,1983,Sci-Fi,6.7,An emotional story that leaves a lasting impact.
815,The Departed,1965,Drama,7.0,A suspenseful ride packed with unexpected twists.
816,Indiana Jones and the Last Crusade,2012,Thriller,9.1,A thrilling adventure that keeps you on the edge.
817,Pulp Fiction,1967,Comedy,6.6,A warm and inspiring tale of hope and resilience.
818,The Avengers,1974,Crime,7.7,A beautifully crafted film with memorable characters.
819,The Shawshank Redemption,2022,Romance,6.8,A fast-paced story with intense action sequences.
820,Back to the Future,2007,Animation,8.4,A visually stunning film with a heartfelt narrative.
821,No Country for Old Men,1967,Crime,7.8,A fast-paced story with intense action sequences.
822,Titanic,2003,Horror,9.6,An unforgettable journey of courage and discovery.
823,The Avengers,2023,Animation,9.2,A visually stunning film with a heartfelt narrative.
824,Saving Private Ryan,1969,Drama,6.7,An unforgettable journey of courage and discovery.
825,La La Land,1991,Romance,9.0,A suspenseful ride packed with unexpected twists.
826,Joker,1975,Adventure,8.1,A thrilling adventure that keeps you on the edge.
827,The Green Mile,1968,Animation,7.6,A beautifully crafted film with memorable characters.
828,2001: A Space Odyssey,1957,Animation,6.7,A powerful drama exploring human relationships.
829,The Terminator,1980,Drama,7.2,A powerful drama exploring human relationships.
830,The Departed,2008,Crime,8.0,A thrilling adventure that keeps you on the edge.
831,The Truman Show,2009,Action,9.0,An emotional story that leaves a lasting impact.
832,Harry Potter and the Sorcerer's Stone,2001,Thriller,9.3,A beautifully crafted film with memorable characters.
833,Indiana Jones and the Last Crusade,2017,Romance,7.2,A suspenseful ride packed with unexpected twists.
834,Titanic,1969,Animation,8.9,A fast-paced story with intense action sequences.
835,Interstellar,1953,Drama,7.1,A warm and inspiring tale of hope and resilience.
836,Gladiator,1986,Comedy,7.7,A suspenseful ride packed with unexpected twists.
837,The Terminator,1975,Crime,9.4,A gripping story filled with emotion and depth.
838,The Big Lebowski,2001,Sci-Fi,6.9,A suspenseful ride packed with unexpected twists.
839,Toy Story,1964,Drama,7.1,A beautifully crafted film with memorable characters.
840,Pulp Fiction,1986,Action,6.8,A warm and inspiring tale of hope and resilience.
841,Casablanca,1952,Sci-Fi,7.6,A thrilling adventure that keeps you on the edge.
842,Shutter Island,2018,Sci-Fi,7.3,A gripping story filled with emotion and depth.
843,Titanic,1983,Sci-Fi,9.3,A visually stunning film with a heartfelt narrative.
844,Rocky,2003,Comedy,7.1,A visually stunning film with a heartfelt narrative.
845,The Avengers,2012,Adventure,7.9,A beautifully crafted film with memorable characters.
846,Whiplash,1953,Animation,6.8,An unforgettable journey of courage and discovery.
847,Harry Potter and the Sorcerer's Stone,1950,Crime,7.8,A suspenseful ride packed with unexpected twists.
848,Black Panther,1993,Crime,7.7,A warm and inspiring tale of hope and resilience.
849,Se7en,1990,Thriller,7.6,A suspenseful ride packed with unexpected twists.
850,The Terminator,1978,Thriller,6.9,A visually stunning film with a heartfelt narrative.
851,Rocky,1952,Action,8.9,A visually stunning film with a heartfelt narrative.
852,Good Will Hunting,1988,Animation,7.9,A warm and inspiring tale of hope and resilience.
853,The Truman Show,1982,Crime,8.7,A gripping story filled with emotion and depth.
854,Good Will Hunting,1990,Drama,8.4,An unforgettable journey of courage and discovery.
855,Casablanca,2007,Action,8.3,A visually stunning film with a heartfelt narrative.
856,Braveheart,1990,Action,7.7,A thrilling adventure that keeps you on the edge.
857,Shutter Island,1985,Drama,7.0,A visually stunning film with a heartfelt narrative.
858,Moonlight,1980,Drama,8.3,A warm and inspiring tale of hope and resilience.
859,Her,1961,Romance,9.1,A fast-paced story with intense action sequences.
860,Parasite,1990,Animation,8.3,A powerful drama exploring human relationships.
861,Harry Potter and the Sorcerer's Stone,1958,Drama,8.2,An emotional story that leaves a lasting impact.
862,Pulp Fiction,2014,Horror,8.8,A visually stunning film with a heartfelt narrative.
863,The Departed,1963,Sci-Fi,7.5,A powerful drama exploring human relationships.
864,The Social Network,1965,Crime,7.1,A warm and inspiring tale of hope and resilience.
865,Star Wars,1953,Sci-Fi,8.3,A beautifully crafted film with memorable characters.
866,The Dark Knight,1951,Action,7.7,A suspenseful ride packed with unexpected twists.
867,The Social Network,2000,Thriller,8.6,An unforgettable journey of courage and discovery.
868,Parasite,2003,Action,7.5,A thrilling adventure that keeps you on the edge.
869,La La Land,1956,Sci-Fi,8.8,A fast-paced story with intense action sequences.
870,A Beautiful Mind,2006,Crime,9.2,A powerful drama exploring human relationships.
871,The Pianist,2000,Crime,7.5,A visually stunning film with a heartfelt narrative.
872,The Shawshank Redemption,1996,Romance,9.7,An emotional story that leaves a lasting impact.
873,Shutter Island,1955,Comedy,8.2,A thrilling adventure that keeps you on the edge.
874,Casablanca,2016,Horror,7.0,An unforgettable journey of courage and discovery.
875,Joker,2009,Thriller,8.4,An emotional story that leaves a lasting impact.
876,Her,2013,Sci-Fi,7.3,A fast-paced story with intense action sequences.
877,The Wolf of Wall Street,1972,Comedy,6.6,A gripping story filled with emotion and depth.
878,The Truman Show,1999,Romance,9.7,A fast-paced story with intense action sequences.
879,Avatar,1985,Action,7.4,An unforgettable journey of courage and discovery.
880,Se7en,2005,Thriller,7.1,An emotional story that leaves a lasting impact.
881,The Wolf of Wall Street,2022,Crime,7.6,An unforgettable journey of courage and discovery.
882,2001: A Space Odyssey,1962,Sci-Fi,9.4,An unforgettable journey of courage and discovery.
883,Rocky,1972,Horror,7.0,An unforgettable journey of courage and discovery.
884,Jurassic Park,2005,Horror,8.5,A suspenseful ride packed with unexpected twists.
885,The Big Lebowski,2001,Animation,6.8,A suspenseful ride packed with unexpected twists.
886,Rocky,2018,Comedy,9.8,A gripping story filled with emotion and depth.
887,Parasite,1988,Crime,7.9,An emotional story that leaves a lasting impact.
888,The Silence of the Lambs,1999,Animation,7.5,An emotional story that leaves a lasting impact.
889,The Prestige,1964,Romance,8.6,A suspenseful ride packed with unexpected twists.
890,Avatar,2009,Thriller,8.7,A thrilling adventure that keeps you on the edge.
891,The Lord of the Rings,2011,Comedy,7.0,A visually stunning film with a heartfelt narrative.
892,No Country for Old Men,1956,Action,9.6,A beautifully crafted film with memorable characters.
893,Moonlight,1978,Animation,6.6,A visually stunning film with a heartfelt narrative.
894,Inception,2010,Romance,7.1,An unforgettable journey of courage and discovery.
895,Iron Man,1974,Horror,9.5,A powerful drama exploring human relationships.
896,Rocky,1988,Horror,7.2,A beautifully crafted film with memorable characters.
897,The Grand Budapest Hotel,1955,Thriller,9.6,A beautifully crafted film with memorable characters.
898,The Dark Knight,1968,Romance,9.2,A gripping story filled with emotion and depth.
899,The Godfather,1991,Action,7.7,A thrilling adventure that keeps you on the edge.
900,The Lord of the Rings,2023,Animation,9.2,A thrilling adventure that keeps you on the edge.
901,The Terminator,1963,Thriller,8.9,An emotional story that leaves a lasting impact.
902,Good Will Hunting,1958,Romance,6.5,An unforgettable journey of courage and discovery.
903,The Social Network,1981,Drama,8.8,An emotional story that leaves a lasting impact.
904,La La Land,1957,Animation,9.1,A powerful drama exploring human relationships.
905,The Wolf of Wall Street,1990,Crime,9.5,A suspenseful ride packed with unexpected twists.
906,Parasite,1996,Romance,6.6,An unforgettable journey of courage and discovery.
907,La La Land,2000,Animation,7.8,A beautifully crafted film with memorable characters.
908,Parasite,1959,Drama,9.4,A beautifully crafted film with memorable characters.
909,Black Panther,1952,Adventure,9.1,A powerful drama exploring human relationships.
910,Black Panther,1989,Comedy,6.9,An unforgettable journey of courage and discovery.
911,2001: A Space Odyssey,1960,Animation,7.8,An emotional story that leaves a lasting impact.
912,Forrest Gump,1973,Horror,8.5,A powerful drama exploring human relationships.
913,Se7en,1998,Drama,7.4,An emotional story that leaves a lasting impact.
914,The Departed,1998,Thriller,6.8,A visually stunning film with a heartfelt narrative.
915,The Shawshank Redemption,1952,Romance,8.4,A beautifully crafted film with memorable characters.
916,The Avengers,2013,Thriller,8.4,A powerful drama exploring human relationships.
917,The Shawshank Redemption,1968,Crime,9.8,A powerful drama exploring human relationships.
918,The Grand Budapest Hotel,2008,Action,9.5,A visually stunning film with a heartfelt narrative.
919,The Pianist,2019,Adventure,9.3,A powerful drama exploring human relationships.
920,The Truman Show,1986,Animation,6.7,A powerful drama exploring human relationships.
921,The Green Mile,1973,Adventure,8.5,A gripping story filled with emotion and depth.
922,Forrest Gump,1958,Action,8.9,A visually stunning film with a heartfelt narrative.
923,Pulp Fiction,1959,Action,7.0,A gripping story filled with emotion and depth.
924,Iron Man,1962,Horror,7.1,A fast-paced story with intense action sequences.
925,A Beautiful Mind,1989,Comedy,9.5,A gripping story filled with emotion and depth.
926,Whiplash,1968,Crime,6.8,A visually stunning film with a heartfelt narrative.
927,Fight Club,2015,Animation,7.5,A fast-paced story with intense action sequences.
928,Braveheart,1985,Romance,6.7,A powerful drama exploring human relationships.
929,La La Land,2019,Drama,7.3,An unforgettable journey of courage and discovery.
930,Harry Potter and the Sorcerer's Stone,1950,Action,8.4,A fast-paced story with intense action sequences.
931,La La Land,1977,Adventure,9.4,A thrilling adventure that keeps you on the edge.
932,The Big Lebowski,1972,Drama,8.4,A beautifully crafted film with memorable characters.
933,Spirited Away,1956,Crime,9.6,A warm and inspiring tale of hope and resilience.
934,No Country for Old Men,1984,Sci-Fi,9.0,A powerful drama exploring human relationships.
935,Harry Potter and the Sorcerer's Stone,2010,Comedy,6.7,A beautifully crafted film with memorable characters.
936,Titanic,1974,Romance,8.4,A suspenseful ride packed with unexpected twists.
937,Joker,1965,Comedy,8.8,A powerful drama exploring human relationships.
938,Fight Club,2004,Romance,7.0,A warm and inspiring tale of hope and resilience.
939,The Departed,1993,Horror,6.7,A thrilling adventure that keeps you on the edge.
940,Moonlight,1958,Drama,9.4,A visually stunning film with a heartfelt narrative.
941,The Prestige,1957,Thriller,6.8,An emotional story that leaves a lasting impact.
942,La La Land,1960,Adventure,9.6,A fast-paced story with intense action sequences.
943,No Country for Old Men,1991,Sci-Fi,7.8,A fast-paced story with intense action sequences.
944,Goodfellas,1954,Action,7.1,A visually stunning film with a heartfelt narrative.
945,The Lion King,2014,Comedy,9.5,A warm and inspiring tale of hope and resilience.
946,Saving Private Ryan,1967,Sci-Fi,9.8,A beautifully crafted film with memorable characters.
947,Fight Club,2016,Sci-Fi,6.7,A warm and inspiring tale of hope and resilience.
948,Pulp Fiction,2015,Drama,9.2,A powerful drama exploring human relationships.
949,2001: A Space Odyssey,1989,Horror,7.6,A suspenseful ride packed with unexpected twists.
950,Whiplash,1959,Adventure,7.7,A thrilling adventure that keeps you on the edge.
951,Goodfellas,2018,Action,7.0,A visually stunning film with a heartfelt narrative.
952,Braveheart,2016,Horror,9.5,A fast-paced story with intense action sequences.
953,Star Wars,1985,Horror,8.1,A gripping story filled with emotion and depth.
954,The Departed,2008,Thriller,9.4,A powerful drama exploring human relationships.
955,The Matrix,1966,Animation,9.4,A thrilling adventure that keeps you on the edge.
956,Gladiator,1968,Sci-Fi,6.6,A beautifully crafted film with memorable characters.
957,Harry Potter and the Sorcerer's Stone,1962,Comedy,7.3,A powerful drama exploring human relationships.
958,The Silence of the Lambs,1978,Crime,7.6,A fast-paced story with intense action sequences.
959,The Lion King,2017,Crime,8.8,A suspenseful ride packed with unexpected twists.
960,The Grand Budapest Hotel,2023,Animation,8.6,A fast-paced story with intense action sequences.
961,Pulp Fiction,1992,Drama,8.8,A powerful drama exploring human relationships.
962,The Avengers,2005,Sci-Fi,8.3,A suspenseful ride packed with unexpected twists.
963,Shutter Island,2001,Comedy,8.1,A beautifully crafted film with memorable characters.
964,Se7en,2023,Horror,8.0,An emotional story that leaves a lasting impact.
965,The Avengers,1962,Comedy,6.9,A suspenseful ride packed with unexpected twists.
966,Interstellar,1968,Crime,8.5,A powerful drama exploring human relationships.
967,Her,1964,Comedy,6.6,A thrilling adventure that keeps you on the edge.
968,The Avengers,2019,Animation,9.2,A powerful drama exploring human relationships.
969,The Social Network,2009,Romance,7.5,A visually stunning film with a heartfelt narrative.
970,The Grand Budapest Hotel,2016,Adventure,9.0,An emotional story that leaves a lasting impact.
971,La La Land,1964,Romance,7.9,An unforgettable journey of courage and discovery.
972,Inception,2006,Animation,7.2,A gripping story filled with emotion and depth.
973,The Lion King,1971,Comedy,8.5,An unforgettable journey of courage and discovery.
974,Whiplash,2007,Comedy,9.8,A fast-paced story with intense action sequences.
975,The Wolf of Wall Street,1967,Comedy,9.0,An emotional story that leaves a lasting impact.
976,Jurassic Park,1956,Action,8.2,A thrilling adventure that keeps you on the edge.
977,The Departed,1951,Animation,8.1,A suspenseful ride packed with unexpected twists.
978,The Dark Knight,1996,Romance,7.4,A fast-paced story with intense action sequences.
979,Moonlight,1990,Crime,7.9,A warm and inspiring tale of hope and resilience.
980,Interstellar,1968,Animation,8.6,A thrilling adventure that keeps you on the edge.
981,Django Unchained,1955,Animation,9.1,A thrilling adventure that keeps you on the edge.
982,Mad Max: Fury Road,2015,Romance,9.6,A suspenseful ride packed with unexpected twists.
983,The Lord of the Rings,2001,Adventure,6.5,A gripping story filled with emotion and depth.
984,The Pianist,1973,Action,9.1,A gripping story filled with emotion and depth.
985,Avatar,2019,Adventure,8.5,A warm and inspiring tale of hope and resilience.
986,Goodfellas,2024,Adventure,9.2,A thrilling adventure that keeps you on the edge.
987,The Big Lebowski,1983,Romance,9.1,An unforgettable journey of courage and discovery.
988,The Godfather,1999,Romance,9.3,An unforgettable journey of courage and discovery.
989,Joker,1951,Drama,6.9,A thrilling adventure that keeps you on the edge.
990,The Lion King,2021,Animation,7.7,A fast-paced story with intense action sequences.
991,Casablanca,1980,Comedy,8.7,A suspenseful ride packed with unexpected twists.
992,Parasite,2008,Sci-Fi,9.8,A visually stunning film with a heartfelt narrative.
993,The Batman,2009,Romance,6.9,A powerful drama exploring human relationships.
994,Black Panther,2009,Drama,8.3,An unforgettable journey of courage and discovery.
995,Fight Club,2003,Thriller,7.9,A thrilling adventure that keeps you on the edge.
996,Saving Private Ryan,1975,Adventure,9.0,A thrilling adventure that keeps you on the edge.
997,The Godfather,1983,Comedy,6.6,A gripping story filled with emotion and depth.
998,Forrest Gump,1961,Sci-Fi,9.5,A visually stunning film with a heartfelt narrative.
999,Casablanca,1963,Romance,6.7,A fast-paced story with intense action sequences.
1000,Good Will Hunting,1997,Animation,7.3,A powerful drama exploring human relationships.
